Date,Location,Time Started,Time Restored,Cause
06/01/2023,Kayang-Hilltop,1:30 AM,2:06 AM,Sparking Hot Line Clamp
06/01/2023,Apugan-Loakan,1:40 AM,3:28 AM,Bamboo grass on primary line
06/01/2023,San Vicente,8:07 PM,n/a,n/a
06/01/2023,Irisan,3:41 PM,n/a,busted transformer
06/02/2023,Bakakeng North,9:21 AM,9:36 AM,line clearing
06/02/2023,St. Joseph Village,9:21 AM,9:36 AM,line clearing
06/02/2023,Asin Road,10:30 AM,12:58 AM,Broken Insulator
06/03/2023,Bakakeng Central,10:26 AM,11:59 AM,Burnt checkmeter
06/03/2023,Camp Allen,7:37 PM,7:50 PM,feeder 8
06/03/2023,Upper Market Subdivision,7:37 PM,7:50 PM,feeder 8
06/03/2023,Kayang Extension,7:37 PM,7:50 PM,feeder 8
06/03/2023,Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),7:37 PM,7:50 PM,feeder 8
06/03/2023,Rizal Monument Area,7:37 PM,7:50 PM,feeder 8
06/03/2023,Legarda-Burnham-Kisad,7:37 PM,7:50 PM,feeder 8
06/03/2023,Palma-Urbano (Cariño-Palma),7:37 PM,7:50 PM,feeder 8
06/03/2023,MRR-Queen of Peace,7:37 PM,7:50 PM,feeder 8
06/03/2023,City Camp Proper,7:37 PM,7:50 PM,feeder 8
06/03/2023,City Camp Central,7:37 PM,7:50 PM,feeder 8
06/03/2023,Bakakeng Central,7:37 PM,7:50 PM,feeder 8
06/03/2023,Bakakeng North,7:37 PM,7:50 PM,feeder 8
06/03/2023,Balsigan,7:37 PM,7:50 PM,feeder 8
06/03/2023,Ferdinand (Happy Homes-Campo Sioco),7:37 PM,7:50 PM,feeder 8
06/03/2023,Phil-Am,7:37 PM,7:50 PM,feeder 8
06/03/2023,BGH Compound,7:37 PM,7:50 PM,feeder 8
06/03/2023,Dontogan,7:37 PM,7:50 PM,feeder 8
06/03/2023,Ferdinand (Happy Homes-Campo Sioco),7:37 PM,7:50 PM,feeder 8
06/03/2023,General Emilio F. Aguinaldo (Quirino‑Lower Magsaysay),7:37 PM,7:50 PM,feeder 8
06/03/2023,Imelda R. Marcos (La Salle),7:37 PM,7:50 PM,feeder 8
06/03/2023,Lower Rock Quarry,7:37 PM,7:50 PM,feeder 8
06/03/2023,Middle Rock Quarry,7:37 PM,7:50 PM,feeder 8
06/03/2023,Upper Rock Quarry,7:37 PM,7:50 PM,feeder 8
06/03/2023,SLU-SVP Housing Village,7:37 PM,7:50 PM,feeder 8
06/03/2023,Sto. Rosario,7:37 PM,7:50 PM,feeder 8
06/03/2023,Sto. Tomas Proper,7:37 PM,7:50 PM,feeder 8
06/03/2023,Sto. Tomas School Area,7:37 PM,7:50 PM,feeder 8
06/03/2023,Upper Quirino-Magsaysay (Upper QM),7:37 PM,7:50 PM,feeder 8
06/04/2023,Kias,4:24 AM,6:05 AM,Lightning
06/05/2023,Pinsao Proper,8:32 PM,n/a,n/a
06/06/2023,Irisan,9:03 AM,10:10 AM,Cut secondary jumper of transformer.
06/07/2023,Sto. Tomas Proper,3:01 PM,3:10 PM,n/a
06/07/2023,Dontogan,3:01 PM,3:10 PM,n/a
06/07/2023,Sto. Tomas School Area,3:01 PM,3:10 PM,n/a
06/07/2023,Lucnab,5:38 PM,n/a,n/a
06/07/2023,Outlook Drive,5:38 PM,n/a,n/a
06/07/2023,Gabriela Silang,6:43 PM,n/a,Melted jumper CT box to transformer
06/08/2023,Asin Road,10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,Irisan,10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,San Luis Village,10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,San Roque Village,10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,Victoria Village,10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,Irisan,10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,Middle Quezon Hill Subdivision (Quezon Hill Middle),10:54 AM,12:08 PM,Broken Pole hooked by Backhoe
06/08/2023,Kias,5:56 PM,n/a,n/a
06/09/2023,Sto. Tomas Proper,5:32 AM,6:17 AM,n/a
06/09/2023,Dontogan,5:32 AM,6:17 AM,n/a
06/09/2023,Sto. Tomas School Area,5:32 AM,6:17 AM,n/a
06/09/2023,Gibraltar,9:49 AM,3:00 PM,Replacement and Retirement of Secondary Pole
06/09/2023,Asin Road,9:49 AM,3:00 PM,Replacement and Retirement of Secondary Pole
06/09/2023,Victoria Village,8:54 PM,11:27 PM,Lightning
06/09/2023,Quezon Hill Proper,8:54 PM,11:27 PM,Lightning
06/10/2023,Quezon Hill Proper,7:20 AM,n/a,n/a
06/10/2023,Victoria Village,7:20 AM,n/a,n/a
06/10/2023,Atok Trail,7:57 AM,8:09 AM,n/a
06/10/2023,Kias,7:57 AM,8:09 AM,n/a
06/10/2023,Fort del Pilar,7:57 AM,8:09 AM,n/a
06/10/2023,Salud Mitra,5:26 PM,6:49 PM,n/a
06/10/2023,Bayan Park East,5:26 PM,6:49 PM,Cut secondary transformer jumper
06/10/2023,Aurora Hill,5:26 PM,6:49 PM,Cut secondary transformer jumper
06/10/2023,Brookspoint,5:26 PM,6:49 PM,Cut secondary transformer jumper
06/10/2023,Bakakeng Central,6:47 PM,8:00 PM,Burnt secondary jumper
06/10/2023,Ferdinand (Happy Homes-Campo Sioco),7:13 PM,8:13 PM,Fallen tree branch on primary line
06/11/2023,Sto. Tomas Proper,2:53 AM,3:53 AM,n/a
06/11/2023,Dontogan,2:53 AM,3:53 AM,n/a
06/11/2023,Sto. Tomas School Area,2:53 AM,3:53 AM,n/a
06/11/2023,Loakan Proper,12:24 PM,n/a,n/a
06/11/2023,Sto. Tomas Proper,3:26 PM,5:48 PM,n/a
06/11/2023,Dontogan,3:26 PM,5:48 PM,n/a
06/11/2023,Sto. Tomas School Area,3:26 PM,5:48 PM,n/a
06/11/2023,Scout Barrio,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Loakan Proper,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Liwanag-Loakan,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Camp 7,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Atok Trail,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Apugan-Loakan,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Happy Hollow,3:26 PM,2:34 AM,Broken pole due to fallen tree
06/11/2023,Sto. Tomas Proper,4:20 PM,5:39 PM,Low/Sagging Line Primary Line
06/12/2023,Quezon Hill Proper,12:31 AM,n/a,Busted Transformer (For replacement)
06/12/2023,Scout Barrio,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Camp 7,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Loakan Proper,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Liwanag-Loakan,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Apugan-Loakan,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Liwanag-Loakan,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Kias,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Camp 7,2:10 AM,2:34 AM,broken pole caused by the fallen tree
06/12/2023,Loakan Proper,4:53 AM,7:14 AM,Tree branch on primary line
06/12/2023,Irisan,4:49 AM,7:00 AM,n/a
06/12/2023,Fort Del Pilar,11:29 AM,12:56 PM,Electrocuted Crow
06/12/2023,Kias,11:29 AM,12:56 PM,Electrocuted Crow
06/12/2023,San Roque Village,5:40 PM,8:16 PM,Cut lineside jumper of FCO and burnt secondary jumper
06/13/2023,Pacdal,12:00 AM,1:00 PM,correction of hotspot
06/13/2023,Mines View Park,12:00 AM,1:00 PM,correction of hotspot
06/13/2023,Gibraltar,12:00 AM,1:00 PM,correction of hotspot
06/13/2023,Pucsusan,12:00 AM,1:00 PM,correction of hotspot
06/13/2023,Lualhati,12:00 AM,1:00 PM,correction of hotspot
